Applicant_ID,Age,Education_Level,Years_with_Current_Employer,Years_at_Current_Address,Household_Income_(Thousands_NIS),Debt_to_Income_Ratio_(%),Credit_Card_Debt_(Thousands_NIS),Other_Debt_(Thousands_NIS),y
1,27,high school,15,10,120,16.5,0,6,0
2,34,graduate professional education,13,1,169,5.6,12,5,0
3,40,high school,0,4,135,6.9,2,7,0
4,28,high school,8,8,210,2.3,11,2,0
5,40,university,27,4,83,6.7,0,15,0
6,29,high school,14,1,101,9.7,2,1,0
7,43,high school,9,27,135,11.6,3,2,0
8,43,high school,13,2,98,11.1,0,1,0
9,40,high school,3,7,71,20.8,5,5,0
10,34,0,7,15,64,3.6,1,13,0
11,37,university,0,1,94,5.7,2,3,0
12,28,university,11,7,105,2.9,1,1,0
13,23,graduate professional education,3,7,105,3.2,1,9,0
14,30,university,16,10,233,6.2,2,16,0
15,50,graduate professional education,3,26,101,2.3,4,1,0
16,32,graduate professional education,5,12,146,8.2,0,2,0
17,39,high school,9,2,146,2.2,2,7,0
18,27,high school,19,17,165,6.7,3,5,0
19,38,university,16,7,225,9.5,8,6,0
20,39,high school,7,14,90,1.7,1,32,0
21,28,university,6,1,101,8.2,10,2,0
22,28,high school,18,11,135,1.8,20,15,0
23,34,high school,6,1,597,2.2,2,3,0
24,31,high school,4,8,109,17.2,0,8,0
25,50,graduate professional education,8,10,139,15.1,6,8,0
26,40,graduate professional education,11,8,116,4.2,15,10,0
27,29,university,8,14,105,2.5,4,16,0
28,27,high school,7,19,229,2.1,4,3,0
29,32,graduate professional education,1,12,109,13.8,16,3,0
30,43,university,4,4,124,11.4,1,4,0
31,32,high school,16,0,368,1,5,45,0
32,30,graduate professional education,5,12,597,5.2,6,2,0
33,46,university,9,22,139,9,5,3,0
34,43,high school,16,19,135,10.8,2,2,0
35,52,graduate professional education,1,7,60,9.4,10,4,0
36,28,0,6,16,75,6.2,11,9,0
37,39,high school,15,3,120,1.9,1,22,0
38,46,high school,5,8,222,12.8,1,10,0
39,34,high school,6,21,192,8.9,3,31,0
40,39,university,10,0,101,9.5,2,18,0
41,28,high school,16,9,94,8.8,5,4,0
42,43,0,3,2,113,7.9,1,4,0
43,27,university,10,0,267,1.2,0,2,0
44,39,high school,15,10,334,3.6,1,6,0
45,42,university,9,2,135,4.3,1,9,0
46,41,graduate professional education,21,2,507,5,3,6,0
47,26,high school,8,1,278,15.4,4,14,0
48,33,university,1,4,120,8.9,3,3,0
49,24,high school,11,10,124,13,2,6,0
50,39,high school,2,7,94,4.8,5,18,0
51,34,high school,12,15,101,5,0,1,0
52,36,high school,8,4,135,5.7,1,2,0
53,42,high school,7,6,162,3.2,6,6,0
54,31,high school,12,4,146,16.5,4,3,0
55,44,university,0,26,255,8.5,2,35,0
56,31,high school,16,2,60,9.6,2,3,0
57,33,high school,10,9,124,5.1,4,28,0
58,29,graduate professional education,6,4,165,14.9,3,23,0
59,23,graduate professional education,16,23,597,2.9,4,2,0
60,37,university,9,1,131,11.8,1,10,0
61,48,high school,14,6,75,24.1,3,2,0
62,27,graduate professional education,16,1,233,4.8,5,19,0
63,35,high school,4,22,165,17.2,0,3,0
64,29,high school,18,4,162,8.5,1,5,0
65,23,high school,9,6,128,1.8,1,28,0
66,46,high school,0,23,98,4.4,1,7,0
67,29,university,15,2,94,7.6,2,6,0
68,33,graduate professional education,22,7,146,11.6,1,11,0
69,23,high school,15,6,128,18.7,10,4,0
70,43,university,5,10,90,15.2,6,1,0
71,39,high school,6,0,86,18.9,1,3,0
72,28,high school,3,10,124,17.1,0,2,0
73,38,university,8,20,94,10.1,1,15,0
74,30,high school,1,4,233,16.3,2,13,0
75,38,graduate professional education,2,4,113,3.6,4,10,0
76,36,university,19,8,188,9.5,3,2,0
77,52,university,4,4,128,6.1,2,5,0
78,40,university,8,10,139,8.6,1,4,0
79,48,graduate professional education,1,9,116,4.8,0,14,0
80,27,high school,12,0,105,0.6,8,4,0
81,33,high school,3,9,424,4.7,14,48,0
82,30,university,21,21,334,2.3,6,10,0
83,45,university,18,16,68,3.8,5,9,0
84,34,0,4,2,79,9.6,9,5,0
85,24,university,8,1,244,1.5,2,2,0
86,22,high school,3,1,101,17.6,7,24,0
87,31,university,6,15,131,5.3,10,13,0
88,41,university,3,2,203,1,1,7,0
89,25,graduate professional education,4,8,282,10.1,4,2,0
90,34,high school,25,14,116,10.8,5,37,0
91,32,high school,16,6,86,3.8,1,14,0
92,34,university,14,2,154,3.8,3,3,0
93,36,graduate professional education,19,10,90,6.8,3,8,0
94,34,high school,2,6,120,8.5,4,22,0
95,33,high school,0,0,90,2.3,0,4,0
96,26,university,22,16,282,4.4,12,6,0
97,33,high school,8,3,143,1.9,3,12,0
98,21,university,12,5,128,5,2,1,0
99,29,university,5,8,101,0,1,19,0
100,42,high school,18,1,150,3,1,12,0
101,22,university,2,8,120,22.8,2,1,0
102,39,high school,5,14,56,15,3,6,0
103,46,0,14,20,90,18.8,2,16,0
104,32,university,12,15,180,9.6,6,3,0
105,25,graduate professional education,0,7,379,3,1,36,0
106,27,0,8,2,105,2.3,9,35,0
107,42,university,14,7,128,17.2,5,3,0
108,43,high school,6,9,56,10.3,2,22,0
109,36,graduate professional education,11,10,79,6.2,1,11,0
110,27,high school,16,1,101,4.4,15,1,0
111,36,high school,20,0,94,3.8,3,3,0
112,34,high school,8,9,105,6.3,0,6,0
113,33,high school,9,13,68,2.5,1,21,0
114,45,university,8,10,90,2.2,0,4,0
115,36,university,6,13,64,5,0,6,0
